iter,ms
0,0.263168
1,0.259072
2,0.254976
3,0.250880
4,0.264192
5,0.259072
6,0.262144
7,0.257024
8,0.260096
9,0.251904
10,0.262144
11,0.263168
12,0.262144
13,0.250880
14,0.247808
15,0.268288
16,0.268288
17,0.257024
18,0.260096
19,0.253952
20,0.256000
21,0.261120
22,0.262144
23,0.260096
24,0.260096
25,0.267264
26,0.260096
27,0.260096
28,0.253952
29,0.256000
30,0.260096
31,0.261120
32,0.262144
33,0.258048
34,0.251904
35,0.254976
36,0.250880
37,0.247808
38,0.264192
39,0.253952
40,0.252928
41,0.264192
42,0.258048
43,0.251904
44,0.264192
45,0.266240
46,0.253952
47,0.261120
48,0.259072
49,0.263168
50,0.261120
51,0.270336
52,0.268288
53,0.271360
54,0.277504
55,0.281600
56,0.265216
57,0.259072
58,0.273408
59,0.272384
60,0.281600
61,0.276480
62,0.301056
63,0.289792
64,0.278528
65,0.271360
66,0.277504
67,0.286720
68,0.280576
69,0.287744
70,0.281600
71,0.274432
72,0.300032
73,0.278528
74,0.303104
75,0.287744
76,0.311296
77,0.270336
78,0.276480
79,0.283648
80,0.276480
81,0.281600
82,0.290816
83,0.277504
84,0.281600
85,0.293888
86,0.285696
87,0.280576
88,0.281600
89,0.284672
90,0.296960
91,0.282624
92,0.292864
93,0.278528
94,0.274432
95,0.286720
96,0.277504
97,0.292864
98,0.296960
99,0.291840
100,0.299008
101,0.289792
102,0.280576
103,0.283648
104,0.292864
105,0.299008
106,0.287744
107,0.288768
108,0.293888
109,0.294912
110,0.297984
111,0.285696
112,0.277504
113,0.291840
114,0.299008
115,0.296960
116,0.285696
117,0.289792
118,0.279552
119,0.278528
120,0.288768
121,0.283648
122,0.309248
123,0.315392
124,0.308224
125,0.310272
126,0.309248
127,0.302080
128,0.300032
129,0.318464
130,0.311296
131,0.292864
132,0.310272
133,0.304128
134,0.281600
135,0.307200
136,0.311296
137,0.308224
138,0.307200
139,0.315392
140,0.302080
141,0.307200
142,0.320512
143,0.314368
144,0.306176
145,0.309248
146,0.307200
147,0.291840
148,0.310272
149,0.310272
150,0.314368
151,0.309248
152,0.310272
153,0.308224
154,0.313344
155,0.322560
156,0.303104
157,0.292864
158,0.310272
159,0.301056
160,0.303104
161,0.307200
162,0.311296
163,0.315392
164,0.310272
165,0.312320
166,0.307200
167,0.318464
168,0.303104
169,0.307200
170,0.324608
171,0.305152
172,0.306176
173,0.315392
174,0.327680
175,0.314368
176,0.316416
177,0.307200
178,0.315392
179,0.299008
180,0.313344
181,0.307200
182,0.304128
183,0.319488
184,0.319488
185,0.304128
186,0.309248
187,0.316416
188,0.303104
189,0.310272
190,0.316416
191,0.314368
192,0.309248
193,0.311296
194,0.314368
195,0.314368
196,0.315392
197,0.309248
198,0.300032
199,0.313344
200,0.305152
201,0.322560
202,0.318464
203,0.301056
204,0.315392
205,0.309248
206,0.323584
207,0.318464
208,0.322560
209,0.316416
210,0.313344
211,0.301056
212,0.320512
213,0.303104
214,0.297984
215,0.308224
216,0.296960
217,0.313344
218,0.310272
219,0.305152
220,0.315392
221,0.310272
222,0.322560
223,0.309248
224,0.308224
225,0.307200
226,0.308224
227,0.316416
228,0.325632
229,0.313344
230,0.306176
231,0.297984
232,0.314368
233,0.309248
234,0.317440
235,0.308224
236,0.313344
237,0.312320
238,0.317440
239,0.311296
240,0.309248
241,0.330752
242,0.309248
243,0.321536
244,0.310272
245,0.310272
246,0.313344
247,0.319488
248,0.293888
249,0.309248
250,0.312320
251,0.316416
252,0.293888
253,0.303104
254,0.311296
255,0.306176
256,0.301056
257,0.299008
258,0.306176
259,0.299008
260,0.308224
261,0.297984
262,0.302080
263,0.304128
264,0.295936
265,0.304128
266,0.305152
267,0.303104
268,0.294912
269,0.302080
270,0.286720
271,0.307200
272,0.293888
273,0.313344
274,0.312320
275,0.302080
276,0.313344
277,0.305152
278,0.312320
279,0.291840
280,0.309248
281,0.266240
282,0.291840
283,0.286720
284,0.301056
285,0.308224
286,0.304128
287,0.299008
288,0.311296
289,0.309248
290,0.317440
291,0.312320
292,0.303104
293,0.303104
294,0.289792
295,0.308224
296,0.370688
297,0.286720
298,0.296960
299,0.295936
300,0.314368
301,0.294912
302,0.301056
303,0.302080
304,0.310272
305,0.309248
306,0.294912
307,0.313344
308,0.301056
309,0.307200
310,0.292864
311,0.296960
312,0.308224
313,0.302080
314,0.314368
315,0.311296
316,0.300032
317,0.296960
318,0.311296
319,0.322560
320,0.318464
321,0.308224
322,0.312320
323,0.301056
324,0.292864
325,0.300032
326,0.288768
327,0.295936
328,0.313344
329,0.319488
330,0.318464
331,0.291840
332,0.289792
333,0.312320
334,0.292864
335,0.310272
336,0.294912
337,0.304128
338,0.325632
339,0.294912
340,0.296960
341,0.309248
342,0.299008
343,0.297984
344,0.299008
345,0.312320
346,0.315392
347,0.291840
348,0.289792
349,0.314368
350,0.306176
351,0.312320
352,0.291840
353,0.305152
354,0.301056
355,0.296960
356,0.299008
357,0.308224
358,0.293888
359,0.315392
360,0.310272
361,0.312320
362,0.307200
363,0.307200
364,0.300032
365,0.308224
366,0.306176
367,0.307200
368,0.306176
369,0.310272
370,0.306176
371,0.304128
372,0.294912
373,0.303104
374,0.295936
375,0.299008
376,0.305152
377,0.310272
378,0.293888
379,0.290816
380,0.301056
381,0.312320
382,0.307200
383,0.317440
384,0.308224
385,0.305152
386,0.304128
387,0.295936
388,0.307200
389,0.315392
390,0.301056
391,0.286720
392,0.312320
393,0.306176
394,0.304128
395,0.301056
396,0.310272
397,0.306176
398,0.304128
399,0.303104
400,0.291840
401,0.297984
402,0.296960
403,0.297984
404,0.301056
405,0.300032
406,0.297984
407,0.308224
408,0.308224
409,0.316416
410,0.303104
411,0.306176
412,0.294912
413,0.301056
414,0.320512
415,0.305152
416,0.300032
417,0.307200
418,0.309248
419,0.300032
420,0.304128
421,0.316416
422,0.318464
423,0.304128
424,0.295936
425,0.311296
426,0.296960
427,0.294912
428,0.296960
429,0.325632
430,0.306176
431,0.292864
432,0.307200
433,0.300032
434,0.283648
435,0.315392
436,0.299008
437,0.305152
438,0.294912
439,0.311296
440,0.302080
441,0.319488
442,0.306176
443,0.297984
444,0.310272
445,0.299008
446,0.293888
447,0.306176
448,0.294912
449,0.323584
450,0.304128
451,0.309248
452,0.293888
453,0.311296
454,0.307200
455,0.308224
456,0.307200
457,0.304128
458,0.311296
459,0.307200
460,0.306176
461,0.302080
462,0.310272
