iter,ms
0,4.514144
1,4.493920
2,4.492128
3,4.493888
4,4.492320
5,4.493184
6,4.491552
7,4.495424
8,4.489920
9,4.496128
10,4.492096
11,4.492832
12,4.492832
13,4.493600
14,4.493536
15,4.493344
16,4.494048
17,4.493408
18,4.493760
19,4.493888
20,4.491392
21,4.492480
22,4.493344
23,4.489632
24,4.495072
25,4.494048
26,4.492064
27,4.494176
28,4.492768
29,4.493472
30,4.494912
31,4.495264
32,4.493504
33,4.493632
34,4.493568
35,4.492928
36,4.494080
37,4.493376
38,4.493696
39,4.493536
40,4.496128
41,4.493920
42,4.493792
43,4.492864
44,4.490560
45,4.493440
46,4.492960
47,4.490112
48,4.490432
49,4.493568
50,4.491136
51,4.493824
52,4.493408
53,4.491808
54,4.490080
55,4.493376
56,4.493472
57,4.493600
58,4.493184
59,4.495616
60,4.491456
61,4.491712
62,4.493376
63,4.491424
64,4.496448
65,4.491104
66,4.492928
67,4.493056
68,4.491808
69,4.493536
70,4.492448
71,4.493984
72,4.493120
73,4.492576
74,4.494304
75,4.492736
76,4.492832
77,4.491200
78,4.492128
79,4.492960
80,4.495296
81,4.493024
82,4.493184
83,4.496480
84,4.493824
85,4.495456
86,4.492832
87,4.491520
88,4.493088
89,4.493440
90,4.493120
91,4.493472
92,4.492224
93,4.492896
94,4.493088
95,4.492640
96,4.490592
97,4.495072
98,4.493312
99,4.496192
100,4.496576
101,4.497632
102,4.493568
103,4.492736
104,4.492800
105,4.493856
106,4.495840
107,4.492832
108,4.492608
109,4.495424
110,4.495040
111,4.494944
112,4.491712
113,4.491264
114,4.493632
115,4.495552
116,4.493248
117,4.492160
118,4.494528
119,4.493504
120,4.498240
121,4.494432
122,4.494304
123,4.491936
124,4.494784
125,4.492544
126,4.491392
127,4.494464
128,4.494112
129,4.492960
130,4.492768
131,4.495232
132,4.495328
133,4.493024
134,4.492704
135,4.491712
136,4.494336
137,4.493248
138,4.493952
139,4.492608
140,4.492288
141,4.493024
142,4.492224
143,4.493568
144,4.491328
145,4.494688
146,4.491424
147,4.492928
148,4.493568
149,4.491552
150,4.494656
151,4.494816
152,4.491456
153,4.494336
154,4.492096
155,4.493600
156,4.490880
157,4.493184
158,4.492928
