iter,ms
0,1.027115
1,0.965525
2,0.982185
3,0.980976
4,0.956655
5,0.978475
6,1.010445
7,1.011296
8,0.990765
9,0.965825
10,0.964766
11,0.890655
12,0.928736
13,0.971855
14,0.881976
15,0.862526
16,0.904696
17,0.955345
18,0.977556
19,0.946425
20,0.970405
21,2.671257
22,1.135835
23,0.945675
24,0.973496
25,0.929875
26,0.933056
27,0.961235
28,0.941906
29,0.942515
30,0.947056
31,0.951485
32,0.937905
33,0.955926
34,1.021675
35,1.006495
36,0.997915
37,0.946056
38,0.983685
39,0.935976
40,0.934016
41,0.930356
42,0.959425
43,0.943456
44,0.959525
45,0.938396
46,0.934215
47,0.952966
48,0.946685
49,0.929656
50,0.929805
51,4.723987
52,1.760622
53,1.091545
54,0.968865
55,1.051505
56,0.998645
57,1.016585
58,1.011365
59,0.970116
60,0.996515
61,1.029785
62,0.995225
63,1.022586
64,1.005545
65,1.026095
66,0.997025
67,0.994665
68,0.978786
69,0.985795
70,0.970475
71,0.955306
72,0.991015
73,0.962495
74,1.031785
75,0.989585
76,1.015516
77,1.014505
78,1.074774
79,1.024906
80,1.017185
81,1.054815
82,1.026295
83,0.991235
84,1.068485
85,1.024285
86,1.076815
87,1.044225
88,1.050175
89,1.006625
90,1.039895
91,1.010865
92,1.019195
93,0.997156
94,1.018445
95,0.982645
96,0.998445
97,0.980515
98,1.031755
99,1.019486
100,1.019145
101,1.010075
102,1.791261
103,1.229084
104,3.129075
105,0.945176
106,0.933685
107,1.290514
108,0.893546
109,0.912336
110,0.913605
111,0.929016
112,0.918215
113,6.802348
114,0.963945
115,0.916186
116,0.897645
117,0.921696
118,0.910346
119,0.917585
120,0.901516
121,0.921715
122,0.908916
123,0.928055
124,0.896296
125,0.903566
126,0.919005
127,0.908566
128,0.976465
129,0.894006
130,0.916456
131,0.933356
132,0.909975
133,0.919476
134,0.875976
135,0.922835
136,0.904616
137,0.931195
138,0.894106
139,0.902926
140,0.888865
141,0.909086
142,0.902806
143,0.878095
144,0.890086
145,0.917856
146,0.900915
147,0.913356
148,0.896076
149,0.901945
150,0.876496
151,0.897256
152,0.959255
153,0.888676
154,0.927865
155,0.898116
156,0.887456
157,0.934006
158,0.906735
159,0.984726
160,0.911185
161,0.926046
162,0.992915
163,0.963576
164,0.908265
165,0.861366
166,0.886606
167,0.910475
168,0.891396
169,0.900836
170,0.875485
171,0.927276
172,0.907376
173,0.889875
174,0.896946
175,0.916066
176,0.893545
177,0.907246
178,0.898286
179,0.895955
180,0.893926
181,0.911696
182,0.906395
183,0.898746
184,0.897166
185,4.763217
186,0.922966
187,0.888575
188,0.899516
189,0.872856
190,0.894926
191,0.893625
192,0.883886
193,0.897826
194,0.877326
195,0.881785
196,0.883626
197,0.897846
198,0.880145
199,0.887416
200,0.969956
201,0.935295
202,0.922216
203,4.059660
204,0.923946
205,3.750442
206,1.256504
207,0.935245
208,0.893326
209,0.915456
210,0.903615
211,0.936256
212,0.949515
213,0.974496
214,0.931055
215,0.929946
216,0.887065
217,0.936516
218,0.987155
219,0.979285
220,0.939736
221,1.228684
222,1.035125
223,0.877216
224,0.972385
225,1.325904
226,0.861476
227,0.877415
228,0.842196
229,0.845946
230,0.872016
231,0.876476
232,0.858016
233,0.831416
234,0.849546
235,0.920886
236,0.873065
237,0.852106
238,0.829206
239,0.862606
240,0.862826
241,0.850256
242,0.837716
243,0.847956
244,0.871256
245,0.836846
246,0.835486
247,0.860505
248,0.855066
249,0.870636
250,0.853456
251,0.909026
252,0.867435
253,0.925036
254,0.837836
255,0.884446
256,0.881165
257,0.848096
258,0.881086
259,0.866386
260,0.874686
261,0.898446
262,0.890056
263,0.871755
264,0.865446
265,0.861406
266,0.899476
267,0.897646
268,0.887586
269,0.888196
270,0.858316
271,0.893556
272,0.962065
273,0.887296
274,0.868115
275,0.879986
276,0.866856
277,0.888216
278,0.855586
279,0.853015
280,0.869106
281,0.967036
282,0.914035
283,0.911056
284,0.887436
285,0.907005
286,0.897296
287,0.880396
288,0.913766
289,0.949085
290,0.909656
291,0.887936
292,1.221464
293,1.590482
294,3.451333
295,1.071575
296,1.161075
297,0.968305
298,1.038505
299,0.946815
300,0.929656
301,0.912786
302,0.945335
303,0.943935
304,0.964896
305,0.939185
306,0.941526
307,0.942115
308,0.974085
309,0.961196
310,0.960335
311,0.956146
312,0.946635
313,0.948086
314,1.709942
315,1.038945
316,1.018345
317,1.996540
318,1.119425
319,0.973235
320,1.267384
321,0.905296
322,0.881735
323,0.887526
324,0.978116
325,0.930335
326,1.151914
327,0.940956
328,0.967505
329,1.112855
330,0.978145
331,1.354314
332,0.896975
333,0.879336
334,0.869196
335,0.885966
336,1.928631
337,0.872356
338,0.855206
339,0.858445
340,0.872746
341,0.881086
342,0.970065
343,0.835756
344,0.861476
345,0.879656
346,0.861616
347,0.862656
348,0.851786
349,0.860075
350,0.802837
351,0.898495
352,0.877746
353,0.869376
354,0.888006
355,0.881835
356,0.894476
357,0.912036
358,0.862565
359,0.872066
360,0.868406
361,0.877796
362,0.936375
363,0.876366
364,7.713833
365,0.983366
366,0.916925
367,0.892396
368,0.914586
369,0.918855
370,0.889756
371,0.900616
372,0.896195
373,0.886166
374,0.936955
375,0.903176
376,0.903416
377,0.936815
378,0.990235
379,0.983366
380,0.923675
381,0.911656
382,0.933795
383,0.931076
384,0.931396
385,0.918215
386,0.930126
387,5.741732
388,0.993176
389,0.923415
390,0.918496
391,0.923425
392,0.926446
393,0.935105
394,0.952346
395,0.975355
396,0.951766
397,0.947275
398,0.970445
399,0.951786
400,0.964685
401,0.967055
402,0.993946
403,0.950455
404,0.957035
405,0.965106
406,1.013165
407,1.016765
408,1.098155
409,3.826722
410,0.892366
411,0.847565
412,0.928996
413,0.850696
414,0.871306
415,0.863976
416,0.869455
417,0.856486
418,0.862126
419,0.849936
420,0.852696
421,0.859886
422,0.865396
423,0.860735
424,0.901486
425,0.850826
426,0.885106
427,0.922265
428,0.833816
429,0.849106
430,0.860636
431,0.861396
432,0.916836
433,0.846886
434,0.852156
435,0.861836
436,0.908795
437,0.889616
438,0.901976
439,0.802976
440,0.912845
441,0.894826
442,0.904836
443,0.874545
444,0.829076
445,0.881796
446,0.869816
447,0.859106
448,0.872306
449,0.900975
450,0.873206
451,0.883616
452,0.896826
453,0.881075
454,0.872846
455,0.849106
456,0.910776
457,0.930905
458,0.917106
459,0.898686
460,0.876996
461,0.871096
462,0.768236
463,0.963325
464,0.892756
465,0.892146
466,0.910965
467,0.903296
468,0.895266
469,0.880875
470,0.906416
471,0.851596
472,0.936425
473,0.918406
474,0.883746
475,0.903905
476,0.910606
477,0.877306
478,0.877955
479,0.872036
480,0.916986
481,0.923325
482,0.884716
483,0.899766
484,0.886566
485,0.936465
486,0.907046
487,2.333838
488,1.519363
489,1.194375
490,1.042395
491,0.997785
492,0.953706
493,0.967915
494,0.934295
495,0.966216
496,0.989485
497,0.972325
498,1.001905
499,0.968056
500,0.983155
501,0.968255
502,0.980956
503,0.990645
504,1.002515
505,0.947995
506,0.972566
507,0.975645
508,0.967115
509,0.970796
510,0.954885
511,1.042895
512,0.997806
513,1.003915
514,0.965475
515,1.000436
516,0.991605
517,0.982405
518,0.967805
519,1.011586
520,3.820421
521,3.669132
522,1.144255
523,1.027725
524,0.995215
525,0.992845
526,0.988346
527,1.890501
528,1.039975
529,1.030055
530,1.010835
531,0.980405
532,1.003065
533,1.001095
534,1.003266
535,1.083995
536,1.036075
537,1.025775
538,1.001955
539,0.995105
540,1.004685
541,1.018566
542,1.178734
543,1.011275
544,1.007625
545,1.014045
546,1.077385
547,1.017805
548,1.013525
549,0.961436
550,0.965355
551,0.934395
552,0.947136
553,0.933385
554,0.948066
555,0.951435
556,0.940546
557,0.988125
558,0.962426
559,0.944755
560,0.932726
561,0.971615
562,1.098725
563,0.965885
564,1.490733
565,1.074195
566,1.299074
567,1.280283
568,1.165675
569,1.139124
570,0.962936
571,0.974235
572,0.976835
573,0.963426
574,0.945095
575,0.958366
576,4.621267
577,1.018785
578,0.972216
579,0.942265
580,1.001345
581,0.970806
582,0.967125
583,1.135155
584,0.972645
585,0.982916
586,0.955265
587,0.944446
588,0.954805
589,1.001075
590,1.013705
591,0.957716
592,0.971045
593,0.976795
594,0.957576
595,0.970565
596,0.975425
597,0.963956
598,0.970275
599,0.943225
600,0.954556
601,0.980945
602,1.009365
603,1.025025
604,0.977636
605,0.966035
606,0.974076
607,0.983825
608,1.014105
609,1.002075
610,0.958246
611,6.016971
612,1.032975
613,1.020535
614,1.003325
615,0.987365
616,0.998055
617,0.986876
618,1.004995
619,0.996225
620,0.977515
621,0.967826
622,0.968725
623,1.030445
624,1.000075
625,1.035886
626,0.984215
627,1.008805
628,0.992755
629,0.977776
630,1.131714
631,0.950546
632,0.990085
633,0.986135
634,0.969175
635,0.974386
636,0.989715
637,0.963755
638,1.038215
639,0.987426
640,0.953245
641,0.960175
642,0.956916
643,0.891065
644,0.945286
645,0.898206
646,0.901085
647,0.883936
648,0.903886
649,0.941435
650,0.934006
651,0.946645
652,1.159255
653,2.175239
654,0.982706
655,0.973325
656,1.138285
657,0.982145
658,0.963375
659,0.962016
660,0.987595
661,0.945115
662,0.942786
663,0.992145
664,0.994635
665,0.953006
666,0.942115
667,0.974045
668,0.954746
669,0.931875
670,0.968676
671,1.522512
672,0.925416
673,0.988405
674,0.988675
675,0.995526
676,1.017135
677,1.017655
678,0.996445
679,1.025776
680,1.012765
681,0.990415
682,0.969795
683,0.994145
684,1.055635
685,0.970216
686,0.987895
687,1.011285
688,0.959785
689,0.969986
690,0.975965
691,0.988015
692,1.146495
693,1.990440
694,1.094675
695,1.042695
696,1.003105
697,0.973965
698,1.019075
699,0.980446
700,0.967145
701,0.989165
702,1.027955
703,0.975726
704,0.980665
705,0.990586
706,1.008185
707,0.984245
708,2.477918
709,4.972306
710,0.929876
711,0.890315
712,0.867376
713,0.887886
714,0.871246
715,0.941825
716,0.912546
717,0.858386
718,1.119944
719,0.881866
720,0.837836
721,0.841416
722,0.894786
723,0.949825
724,0.856346
725,0.965866
726,0.972395
727,0.884976
728,0.885586
729,1.122574
730,2.814497
731,1.234384
732,0.928275
733,0.884696
734,0.889086
735,0.837066
736,0.969065
737,4.267960
738,0.841275
739,0.836446
740,0.809337
741,0.822596
742,0.806906
743,1.071095
744,0.882356
745,0.814796
746,0.860726
747,0.881026
748,0.943885
749,0.825116
750,0.852556
751,0.860126
752,0.834596
753,0.834286
754,1.122354
755,0.852246
756,0.860806
757,0.836846
758,0.846096
759,0.905866
760,1.044475
761,0.892305
762,0.874316
763,0.910556
764,0.954145
765,0.948666
766,0.861785
767,0.873296
768,0.868296
769,4.065250
770,0.948176
771,0.885846
772,0.970935
773,0.883036
774,0.867216
775,0.858436
776,0.916285
777,0.891536
778,0.878456
779,0.857416
780,0.864906
781,0.876755
782,1.042905
783,0.823066
784,0.878516
785,0.906166
786,1.721182
787,0.821856
788,0.848516
789,0.858115
790,0.844746
791,0.850526
792,0.862806
793,0.846216
794,0.859156
795,0.833976
796,0.858166
797,0.874696
798,0.889536
799,0.857166
800,0.840296
801,0.948835
802,0.827216
803,0.854096
804,0.825586
805,0.837966
806,0.852606
807,0.835786
808,0.828766
809,0.824256
810,0.841066
811,0.830246
812,0.914815
813,0.936736
814,0.901465
815,1.108245
816,0.862216
817,0.850016
818,0.861536
819,0.884085
820,0.860596
821,0.890016
822,0.959955
823,0.886546
824,0.868476
825,0.886876
826,0.889875
827,0.846236
828,0.879236
829,0.859526
830,0.886236
831,0.817596
832,0.876186
833,3.700312
834,0.893546
835,0.870866
836,0.815736
837,0.849896
838,0.887005
839,0.870356
840,0.870696
841,0.889666
842,1.086535
843,0.851775
844,0.871026
845,0.844176
846,0.810836
847,0.835266
848,0.848416
849,0.825806
850,0.818736
851,0.839606
852,0.863466
853,0.822136
854,0.840366
855,0.835386
856,0.815007
857,0.882675
858,0.832936
859,0.809527
860,0.840705
861,0.828096
862,0.801957
863,0.844096
864,0.833276
865,0.797796
866,0.838306
867,0.997035
868,0.826356
869,0.826706
870,0.852046
871,0.851846
872,0.847846
873,0.863545
874,0.838706
875,0.844456
876,0.874676
877,0.853586
878,0.812996
879,0.861906
880,0.855156
881,0.904635
882,0.840496
883,0.846076
884,0.854206
885,0.846526
886,0.854446
887,0.885266
888,0.855506
889,0.885296
890,0.861276
891,0.875206
892,0.889305
893,0.832466
894,0.931926
895,0.883226
896,0.891375
897,0.852706
898,0.842586
899,0.842096
900,0.849196
901,0.824766
902,0.887056
903,0.870866
904,0.929585
905,0.830166
906,0.869666
907,0.868286
908,0.871715
909,0.870006
910,0.860146
911,0.872896
912,0.854466
913,0.864986
914,0.814286
915,0.874196
916,0.919835
917,0.897626
918,1.191585
919,0.924735
920,0.886426
921,0.827436
922,0.894156
923,0.847355
924,0.894826
925,0.911536
926,0.919365
927,0.888276
928,0.867546
929,0.969305
930,5.292635
931,7.809743
932,4.221859
933,3.978231
934,1.018225
935,0.925546
936,2.227389
937,0.852956
938,0.960645
939,0.835026
940,0.835406
941,0.939986
942,2.393338
943,0.944266
944,0.896735
945,0.867966
946,0.869106
947,0.821806
948,0.825266
949,0.826496
950,0.809466
951,0.799947
952,0.795366
953,0.834266
954,0.805416
955,0.839906
956,0.775386
957,0.838336
958,3.867752
959,0.843926
960,0.800576
961,0.801116
962,0.801266
963,0.786266
964,0.952386
965,0.824086
966,0.846886
967,0.887665
968,0.868166
969,0.868876
970,3.111725
971,3.733043
972,0.787466
973,0.858586
974,0.870246
975,0.891105
976,0.872666
977,0.923506
978,0.860015
979,1.804342
980,1.394283
981,1.328454
982,1.331613
983,1.122525
984,1.167094
985,0.877846
986,0.882966
987,3.906791
988,0.920945
989,0.884866
990,1.076895
991,0.875196
992,0.826036
993,0.848406
994,0.873256
995,0.825976
996,0.841596
997,0.874446
998,0.836516
999,0.812316
1000,0.855466
1001,0.820496
1002,0.909365
1003,0.850376
1004,0.815576
1005,0.853046
1006,0.873066
1007,0.879926
1008,0.864056
1009,0.835056
1010,0.825826
1011,0.828146
1012,0.841006
1013,0.860096
1014,6.136820
1015,3.479534
1016,0.919435
1017,0.930756
1018,0.877256
1019,0.873525
1020,0.885376
1021,0.873526
1022,0.871276
1023,0.847326
1024,0.873615
1025,0.914836
1026,0.922376
1027,2.741716
1028,0.904416
1029,1.793261
1030,0.878516
1031,0.884256
1032,0.879706
1033,0.860286
1034,0.852315
1035,0.912046
1036,0.962115
1037,0.890666
1038,0.876526
1039,0.894436
1040,0.883965
1041,0.887096
1042,0.851486
1043,0.926206
1044,0.973865
1045,0.876276
1046,0.857816
1047,0.844536
1048,0.846306
1049,0.882536
1050,0.860865
1051,0.884646
1052,0.840056
1053,0.845396
1054,0.908696
1055,0.906135
1056,0.850486
1057,0.849956
1058,0.900206
1059,0.879126
1060,0.847596
1061,0.889645
1062,0.852546
1063,0.861966
1064,0.857826
1065,0.883626
1066,0.842736
1067,0.868405
1068,0.845116
1069,0.891286
1070,0.846796
1071,0.872346
1072,0.876336
1073,0.898776
1074,0.855936
1075,0.849345
1076,0.907796
1077,0.868976
1078,0.902926
1079,0.835226
1080,0.863865
1081,0.891246
1082,0.866006
1083,0.877186
1084,0.847616
1085,0.846426
1086,0.929865
1087,0.849916
1088,0.920546
1089,0.882485
1090,0.858326
1091,0.892856
1092,0.890216
1093,0.855435
1094,0.893666
1095,0.849246
1096,0.854826
1097,0.892406
1098,0.896876
1099,0.838316
1100,0.862836
1101,0.908815
1102,0.866936
1103,0.926036
1104,0.871805
1105,0.891316
1106,0.882276
1107,0.886086
1108,0.876935
1109,0.852206
1110,0.855606
1111,0.889386
1112,0.851316
1113,0.874876
1114,0.861575
1115,0.846556
1116,0.897266
1117,0.902696
1118,2.712217
1119,2.218079
1120,0.978005
1121,0.932686
1122,0.918925
1123,0.955486
1124,0.969295
1125,0.972506
1126,0.955555
1127,1.295974
1128,0.999065
1129,0.970126
1130,0.977485
1131,0.977255
1132,0.951526
1133,0.938605
1134,0.949066
1135,0.962935
1136,0.978375
1137,0.948426
1138,0.941845
1139,0.953105
1140,0.948136
1141,0.934175
1142,0.973276
1143,0.950995
1144,0.935436
1145,0.933685
1146,0.915516
1147,0.958985
1148,1.143675
1149,0.912916
1150,0.913905
1151,0.890416
1152,0.903626
1153,0.913905
1154,0.897686
1155,0.896086
1156,0.957775
1157,0.912436
1158,0.904475
1159,0.892366
1160,0.906256
1161,0.908465
1162,0.929896
1163,0.908735
1164,0.892696
1165,0.942296
1166,0.941815
1167,0.956325
1168,0.902206
1169,0.939896
1170,0.946305
1171,0.902806
1172,0.904655
1173,0.902736
1174,0.912466
1175,0.902595
1176,0.910566
1177,0.881336
1178,0.919785
1179,0.947346
1180,0.928375
1181,0.933856
1182,0.923496
1183,0.966705
1184,0.950505
1185,0.914006
1186,0.978245
1187,0.963136
1188,0.931835
1189,0.916296
1190,0.912555
1191,0.918046
1192,0.923516
1193,0.893415
1194,0.913926
1195,0.964205
1196,0.979315
1197,0.938466
1198,0.955865
1199,0.913266
1200,0.937925
1201,0.906126
1202,0.924616
1203,0.902155
1204,6.163081
1205,1.018215
1206,0.948406
1207,0.927405
1208,0.906516
1209,0.915345
1210,0.919936
1211,0.940455
1212,0.935086
1213,0.901816
1214,0.927355
1215,0.953966
1216,0.926305
1217,0.911666
1218,1.014545
1219,1.012535
1220,0.965705
1221,0.942476
1222,0.957765
1223,0.896896
1224,1.044255
1225,0.982025
1226,0.944036
1227,0.935836
1228,1.000675
1229,0.951845
1230,0.968806
1231,0.968425
1232,1.080665
1233,0.966445
1234,0.951215
1235,0.934696
1236,1.030695
1237,0.974645
1238,0.984335
1239,0.948436
1240,0.977275
1241,0.956606
1242,0.976735
1243,0.995515
1244,0.993825
1245,0.995936
1246,1.003555
1247,0.940475
1248,0.969625
1249,0.964286
1250,0.969965
1251,0.952296
1252,0.962345
1253,0.967015
1254,0.947526
1255,0.935456
1256,0.955885
1257,0.969136
1258,0.922645
1259,0.930496
1260,0.900315
1261,0.929196
1262,0.910185
1263,0.895286
1264,0.906336
1265,0.930685
1266,0.916286
1267,0.919415
1268,0.917906
1269,0.957765
1270,0.913786
1271,0.891406
1272,0.915635
1273,0.970666
1274,0.939565
1275,0.909366
1276,0.909985
1277,0.903326
1278,0.922856
1279,0.910775
1280,0.909666
1281,0.888266
1282,0.948425
1283,0.922786
1284,0.904126
1285,0.914345
1286,0.917306
1287,1.017685
1288,0.919735
1289,0.924246
1290,0.896436
1291,0.925455
1292,0.931746
1293,0.911735
1294,0.901876
1295,0.966705
1296,0.922066
1297,0.909526
1298,0.906385
1299,0.905686
1300,0.948085
1301,0.957406
1302,0.908145
1303,0.900656
1304,0.920475
1305,0.919176
1306,0.937226
1307,0.894095
1308,0.952776
1309,0.942005
1310,0.906526
1311,0.945846
1312,0.872946
1313,0.917725
1314,0.945366
1315,0.949305
1316,0.920136
1317,0.928015
1318,0.900706
1319,0.931125
1320,0.902596
1321,0.952345
1322,0.935396
1323,0.925295
1324,0.914016
1325,0.896096
1326,0.930615
1327,0.915516
1328,2.554907
1329,1.020876
1330,1.000565
1331,1.001655
1332,0.993975
1333,0.993185
1334,0.965446
1335,0.957815
1336,0.974316
1337,0.962695
1338,0.980706
1339,0.972805
1340,0.982925
1341,0.957726
1342,1.001095
1343,0.959275
1344,0.960355
1345,1.016646
1346,0.986295
1347,0.947375
1348,0.971826
1349,1.007235
1350,1.099194
1351,0.963866
1352,0.966885
1353,0.984225
1354,0.960586
1355,0.996415
1356,0.975255
1357,1.009265
1358,0.987836
1359,0.957915
1360,0.962425
1361,0.985316
1362,0.925785
1363,0.921496
1364,0.908906
1365,0.923395
1366,0.950216
1367,0.932205
1368,0.923816
1369,0.962655
1370,0.921936
1371,0.916355
1372,0.926636
1373,0.925226
1374,0.928325
1375,0.913166
1376,0.896375
1377,0.894396
1378,0.907266
1379,0.915995
1380,0.931456
1381,0.907205
1382,0.931586
1383,0.980635
1384,0.972635
1385,0.895916
1386,0.924496
1387,0.935945
1388,0.911786
1389,0.900586
1390,0.900896
1391,0.925495
1392,0.947106
1393,0.910315
1394,0.958056
1395,0.937465
1396,0.916716
1397,0.968805
1398,0.908726
1399,0.912365
1400,0.925116
1401,0.923385
1402,0.904206
1403,0.907856
1404,0.924315
1405,0.930216
1406,0.911195
1407,0.922496
1408,0.955955
1409,0.924966
1410,0.949665
1411,0.943156
1412,0.922855
1413,0.957956
1414,0.949175
1415,0.948656
1416,0.972415
1417,0.947916
1418,0.960095
1419,0.937036
1420,0.955885
1421,0.976955
1422,0.962306
1423,0.963095
1424,0.964405
1425,1.001946
1426,0.948695
1427,0.946455
1428,0.940276
1429,0.948155
1430,0.945466
1431,0.943925
1432,0.954396
1433,0.998445
1434,4.158930
1435,1.002585
1436,0.974975
1437,0.923206
1438,0.947145
1439,0.944806
1440,0.949225
1441,0.964956
1442,0.971835
1443,1.002036
1444,0.932005
1445,0.963985
1446,0.932656
1447,0.981275
1448,0.986686
1449,0.974766
1450,0.946045
1451,0.948846
1452,0.946625
1453,0.940256
1454,0.952305
1455,0.987935
1456,0.962536
1457,0.955335
1458,0.944565
1459,0.957516
1460,0.964795
1461,0.953436
1462,0.948475
1463,1.004175
1464,0.966706
1465,0.959105
1466,0.921516
1467,0.905166
1468,0.958595
1469,0.915416
1470,0.917115
1471,0.927006
1472,0.915675
1473,0.938356
1474,0.926405
1475,0.916326
1476,0.946745
1477,0.976726
1478,0.914385
1479,0.909736
1480,0.903196
1481,0.957855
1482,0.925095
1483,0.922316
1484,0.909176
1485,0.927615
1486,0.926146
1487,0.939265
1488,0.906026
1489,0.922185
1490,0.938206
1491,0.972395
1492,0.922386
1493,0.912045
1494,0.934796
1495,0.956096
1496,0.931785
1497,0.952626
1498,0.928355
1499,0.942406
1500,0.914385
1501,0.897636
1502,0.923686
1503,0.907165
1504,0.911566
1505,0.952105
1506,0.959246
1507,0.974675
1508,0.944575
1509,0.911146
1510,0.910946
1511,0.913175
1512,0.907846
1513,0.915305
1514,0.904896
1515,2.141510
1516,1.169544
1517,1.077395
1518,0.971785
1519,0.939116
1520,0.942436
1521,0.927375
1522,0.949626
1523,0.948105
1524,0.961135
1525,0.920446
1526,0.942665
1527,0.905996
1528,0.892766
1529,0.882686
1530,0.893815
1531,0.914596
1532,0.889926
1533,0.873925
1534,0.889456
1535,0.899326
1536,0.893885
1537,0.910716
1538,0.930206
1539,1.011035
1540,0.954485
1541,0.950926
1542,0.937345
1543,0.945575
1544,1.453223
1545,1.477783
1546,0.944316
1547,1.060605
1548,0.989735
1549,1.002335
1550,0.895986
1551,0.951976
1552,0.937545
1553,0.931296
1554,0.946465
1555,0.930966
1556,0.954655
1557,0.946786
1558,0.972145
1559,0.977715
1560,0.949396
1561,0.935815
1562,0.954075
1563,0.929376
1564,1.151414
1565,0.931806
1566,0.923366
1567,0.931055
1568,0.988745
1569,0.947106
1570,0.949495
1571,0.923536
1572,1.018495
1573,0.932226
1574,0.934775
1575,0.906066
1576,0.942455
1577,0.902046
1578,0.875596
1579,0.874786
1580,0.923155
1581,0.905416
1582,0.897676
1583,0.889905
1584,0.894916
1585,0.896996
1586,0.919725
1587,0.882066
1588,0.866096
