iter,ms
0,6.779712
1,7.793920
2,7.792416
3,7.792032
4,7.788256
5,7.811264
6,7.784352
7,7.790720
8,7.788288
9,7.797664
10,7.822240
11,7.964608
12,7.787872
13,7.787776
14,7.785920
15,7.786592
16,7.788352
17,7.787328
18,7.793472
19,7.788256
20,7.787552
21,7.789856
22,7.808800
23,7.790176
24,7.790528
25,7.790496
26,7.792224
27,7.790208
28,7.786944
29,7.790496
30,7.784064
31,7.787296
32,7.790592
33,7.784736
34,7.786048
35,7.784256
36,7.785696
37,7.784448
38,7.808576
39,7.790624
40,7.791456
41,7.785984
42,7.785760
43,7.795584
44,7.786336
45,7.791264
46,7.787040
47,7.786048
48,7.790848
49,7.789440
50,7.785216
51,7.822176
52,7.828192
53,7.794496
54,7.787584
55,7.791296
56,7.787680
57,7.790496
58,7.785952
59,7.790240
60,7.787360
61,7.784448
62,7.785056
63,7.791872
64,7.791264
65,7.793248
66,7.791072
67,7.788128
68,7.793440
69,7.788800
70,7.789856
71,7.794848
72,7.788800
73,7.790208
74,7.791392
75,7.785696
76,7.787104
77,7.787488
78,7.789984
79,7.848192
80,7.804000
81,7.793440
82,7.785856
83,7.795296
84,7.789088
85,7.788768
86,7.810688
87,7.785664
88,7.811712
89,7.788704
90,7.786944
91,7.788640
92,7.786400
93,7.810368
94,7.783904
95,7.784160
96,7.786944
97,7.789824
98,7.787648
99,7.792064
100,7.786112
101,7.793056
102,7.787424
103,7.788256
104,7.788576
105,7.793824
106,7.785632
107,7.788544
108,7.796448
109,7.786784
110,7.793504
111,7.802752
112,7.791008
113,7.790720
114,7.786720
115,7.783872
116,7.787872
117,7.819104
118,7.788320
119,7.799360
120,7.786624
121,7.789568
122,7.843136
123,7.784384
124,7.792672
125,7.789728
126,7.790016
127,7.790112
128,7.804864
129,7.788576
130,7.814336
131,7.785216
132,7.791872
133,7.785504
134,7.788704
135,7.786496
136,7.790368
137,7.787744
138,7.783808
139,7.784448
140,7.789408
141,7.787552
142,7.802304
143,7.787168
144,7.786208
145,7.788352
146,7.784896
147,7.787360
148,7.789248
149,7.788672
150,7.785504
151,7.794656
152,7.795008
153,7.789376
154,7.812320
155,7.806272
156,7.788576
157,7.797632
158,7.795904
159,7.788640
160,7.802688
161,7.785024
162,7.805504
163,7.800160
164,7.788896
165,7.785600
166,7.787712
167,7.837952
168,7.789696
169,7.791552
170,7.791680
171,7.792800
172,7.788672
173,7.787968
174,7.807904
175,7.792864
176,7.787936
177,7.788512
178,7.789472
179,7.783328
180,7.790976
181,7.787840
182,7.788640
183,7.786912
184,7.790368
185,7.787520
186,7.788416
187,7.783712
188,7.788512
189,7.789088
190,7.782144
191,7.795648
192,7.789824
193,7.783200
194,7.786048
195,7.784576
196,7.787616
197,7.791008
198,7.789952
199,7.787520
200,7.787392
201,7.795904
202,7.788416
203,7.788480
204,7.793696
205,7.789024
206,7.789600
207,7.792032
208,7.782432
209,7.785664
210,7.786400
211,7.786208
212,7.787296
213,7.788288
214,7.785888
215,7.791072
216,7.802784
217,7.784160
218,7.812736
219,7.816960
220,7.826816
221,7.784896
222,7.791104
223,7.787136
224,7.792608
225,7.832672
226,7.813120
227,7.787840
228,7.815456
229,7.794944
230,7.790496
231,7.791520
232,6.396960
233,6.423008
234,6.404032
235,6.441120
236,6.394560
237,7.799584
238,7.815552
239,7.786560
240,7.816992
241,7.843488
242,7.797728
243,6.570304
244,6.388896
245,6.400032
246,6.390560
247,6.387680
248,7.786976
249,7.791488
250,7.811904
251,7.822912
252,7.804768
253,7.790464
254,7.789472
