iter,ms
0,1.302843
1,1.305114
2,1.311014
3,1.295204
4,1.260773
5,1.262714
6,1.300644
7,1.266954
8,1.270504
9,1.266824
10,1.273514
11,1.265824
12,1.313193
13,1.278284
14,1.264254
15,1.272834
16,1.288284
17,1.297273
18,1.279324
19,1.310624
20,1.322864
21,1.323613
22,1.258774
23,1.267074
24,1.286324
25,1.307164
26,1.297694
27,1.264164
28,1.266554
29,1.257014
30,1.556542
31,1.303284
32,1.282604
33,1.316723
34,1.304134
35,1.306764
36,1.293704
37,1.324423
38,1.252384
39,1.269394
40,1.291604
41,1.257514
42,1.262644
43,1.269714
44,1.268113
45,1.304754
46,1.270494
47,1.267184
48,1.294484
49,1.300913
50,1.278884
51,1.320594
52,1.277174
53,1.309513
54,1.270094
55,1.270114
56,1.270054
57,1.276854
58,1.312134
59,1.265304
60,1.257113
61,1.275554
62,1.297864
63,1.260004
64,1.264844
65,1.225954
66,1.279274
67,1.253494
68,1.275634
69,1.270034
70,1.270244
71,1.304524
72,1.270654
73,1.267243
74,1.279894
75,1.269014
76,1.273464
77,1.261804
78,1.269104
79,1.258284
80,1.271934
81,1.273924
82,1.281633
83,1.261774
84,1.268774
85,1.267354
86,1.262594
87,1.272114
88,1.261544
89,1.257204
90,1.279214
91,1.375423
92,1.259684
93,1.269174
94,1.261054
95,1.259714
96,1.260924
97,1.272263
98,1.273724
99,1.321424
100,1.277884
101,1.269284
102,1.279014
103,1.267934
104,1.258164
105,1.288604
106,1.305903
107,1.299574
108,1.302224
109,1.307494
110,1.285413
111,1.258854
112,1.251894
113,1.252084
114,1.245234
115,1.278304
116,1.301664
117,1.246844
118,1.260274
119,1.267784
120,1.282194
121,1.267093
122,1.261734
123,1.271464
124,1.266324
125,1.258894
126,1.267304
127,1.276494
128,1.269274
129,1.280424
130,1.326873
131,1.265624
132,1.255584
133,1.263494
134,1.277374
135,1.265424
136,1.264174
137,1.253114
138,1.280263
139,1.251124
140,1.255744
141,1.262174
142,1.248954
143,1.276094
144,1.255414
145,1.267614
146,1.315404
147,1.271404
148,1.262784
149,1.275464
150,1.273964
151,1.263664
152,1.246384
153,1.274843
154,1.261934
155,1.249534
156,1.253574
157,1.267344
158,1.238854
159,1.259254
160,1.256464
161,1.255974
162,1.260784
163,1.267194
164,1.259844
165,1.249894
166,1.254174
167,1.242394
168,1.283784
169,1.265483
170,1.262324
171,1.255424
172,1.271774
173,1.259254
174,1.243794
175,1.303854
176,1.273854
177,1.260084
178,1.301733
179,1.251894
180,1.265384
181,1.268134
182,1.281254
183,1.257504
184,1.261944
185,1.245074
186,1.239084
187,1.276214
188,1.259894
189,1.272834
190,1.285834
191,1.263064
192,1.258784
193,1.265884
194,1.259194
195,1.270794
196,1.250744
197,1.261833
198,1.263684
199,1.304814
200,1.284634
201,1.257944
202,1.307304
203,1.263373
204,1.264984
205,1.296064
206,1.290204
207,1.258124
208,1.272404
209,1.293823
210,7.044747
211,1.280013
212,1.270574
213,1.248234
214,1.270834
215,1.266444
216,1.266894
217,1.253844
218,1.229704
219,1.307854
220,1.267624
221,1.283204
222,1.280684
223,1.262574
224,1.275024
225,1.275203
226,1.249944
227,1.270064
228,1.253624
229,1.258974
230,1.284924
231,1.271664
232,1.270164
233,1.275294
234,1.303633
235,1.269704
236,1.269394
237,1.273754
238,1.258354
239,1.266254
240,1.268794
241,1.280804
242,1.279123
243,1.277804
244,1.272734
245,1.251994
246,1.311054
247,1.259624
248,1.263824
249,1.272983
250,1.289054
251,1.267844
252,1.264714
253,1.273404
254,1.294424
255,1.279064
256,1.283273
257,1.272074
258,1.286104
259,1.269704
260,1.290694
261,1.289784
262,1.266654
263,1.256004
264,1.256724
265,1.270134
266,1.264534
267,1.259364
268,1.288773
269,1.267474
270,1.264494
271,1.272664
272,1.275764
273,1.269884
274,1.268324
275,1.274224
276,1.284993
277,1.288144
278,1.284334
279,1.275664
280,1.255734
281,1.268574
282,1.259284
283,1.259904
284,6.621388
285,1.266844
286,1.263823
287,1.276004
288,1.253294
289,1.260634
290,1.258544
291,1.261724
292,1.268494
293,1.272854
294,1.270584
295,1.267394
296,1.278264
297,1.296264
298,1.261474
299,1.275734
300,1.253603
301,1.272274
302,1.261194
303,1.249214
304,1.287734
305,1.264124
306,1.239904
307,1.257184
308,1.276384
309,1.265974
310,1.262574
311,1.265504
312,1.273233
313,1.262104
314,1.276294
315,1.265334
316,1.260384
317,1.274394
318,1.255894
319,1.258244
320,1.270224
321,1.272024
322,1.263793
323,1.258674
324,1.269474
325,1.264974
326,1.274924
327,1.265304
328,1.300114
329,1.286913
330,1.263464
331,1.283404
332,1.290544
333,1.279154
334,1.266314
335,1.244204
336,1.258024
337,1.268204
338,1.277234
339,1.256704
340,1.251624
